show_id,genre
10192,Comedy
10192,Adventure
10192,Fantasy
10192,Animation
10192,Family
27205,Action
27205,Science Fiction
27205,Adventure
12444,Adventure
12444,Fantasy
38757,Animation
38757,Family
38757,Adventure
10191,Fantasy
10191,Adventure
10191,Animation
10191,Family
11324,Drama
11324,Thriller
11324,Mystery
38575,Action
38575,Adventure
38575,Drama
38575,Family
10138,Adventure
10138,Action
10138,Science Fiction
38365,Comedy
48650,Drama
48650,Romance
20352,Animation
20352,Family
20352,Comedy
10193,Animation
10193,Family
10193,Comedy
24021,Adventure
24021,Fantasy
24021,Drama
24021,Romance
12155,Family
12155,Fantasy
12155,Adventure
73861,Crime
73861,Horror
73861,Thriller
38234,Action
38234,Thriller
38234,Crime
38234,Drama
37799,Drama
61979,Romance
61979,Drama
32657,Adventure
32657,Fantasy
32657,Family
23168,Crime
23168,Drama
23168,Thriller
34851,Science Fiction
34851,Action
34851,Thriller
38055,Animation
38055,Action
38055,Comedy
38055,Family
38055,Science Fiction
10140,Adventure
10140,Family
10140,Fantasy
27578,Thriller
27578,Adventure
27578,Action
18823,Adventure
18823,Fantasy
18823,Action
44214,Drama
44214,Thriller
44214,Horror
23483,Action
23483,Crime
20526,Adventure
20526,Action
20526,Science Fiction
52629,Action
52629,Crime
52629,Western
52629,Comedy
52629,Drama
26389,Action
26389,Crime
26389,Thriller
10196,Action
10196,Adventure
10196,Fantasy
27581,Action
27581,Comedy
27581,Crime
27581,Thriller
47931,Drama
47931,Action
47931,Crime
9543,Adventure
9543,Fantasy
9543,Action
22538,Action
22538,Comedy
22538,Romance
22894,Horror
22894,Action
22894,Fantasy
51608,Action
51608,Thriller
51608,Crime
43947,Thriller
43947,Crime
43947,Horror
44115,Adventure
44115,Drama
44115,Thriller
39514,Action
39514,Adventure
39514,Comedy
39514,Crime
39514,Thriller
573531,Animation
573531,War
573531,Action
573531,Science Fiction
35552,Fantasy
35552,Adventure
35552,Action
35552,Mystery
27576,Action
27576,Mystery
27576,Thriller
46738,Drama
46738,War
46738,Mystery
44918,Action
44918,Thriller
44918,Romance
44918,Adventure
43949,Romance
43949,Drama
43347,Drama
43347,Comedy
43347,Romance
35019,Comedy
35019,Fantasy
35019,Family
43593,Comedy
43593,Horror
44683,Animation
44683,Adventure
44683,Family
44683,Fantasy
20504,Action
20504,Thriller
20504,Science Fiction
7978,Horror
7978,Thriller
48466,Animation
48466,Comedy
48466,Family
34544,Action
34544,Comedy
34544,Crime
38167,Drama
38167,Romance
26022,Drama
26022,Romance
50723,Adventure
50723,Action
50723,Animation
49797,Thriller
49797,Horror
51620,Action
51620,Thriller
51620,Science Fiction
46705,Drama
46705,Romance
33217,Comedy
33217,Family
20662,Action
20662,Adventure
20662,History
20662,Drama
51739,Fantasy
51739,Animation
51739,Family
25195,Romance
25195,Comedy
27022,Fantasy
27022,Adventure
27022,Action
34016,Romance
34016,Comedy
44363,Thriller
41439,Horror
41439,Crime
37834,Action
37834,Comedy
46838,Comedy
46838,Horror
37707,Horror
37707,Science Fiction
38358,Horror
38358,Thriller
38358,Mystery
41733,Comedy
41733,Drama
23437,Horror
23437,Mystery
23437,Thriller
22907,Action
22907,Crime
22907,Drama
22907,Thriller
40205,Fantasy
40205,Drama
40205,Family
45269,Drama
45269,History
23169,Drama
23169,Romance
37735,Comedy
44048,Action
44048,Thriller
44874,Family
44874,Animation
37786,Comedy
37786,Drama
37786,Romance
37645,Drama
37645,Crime
37645,Thriller
41283,Crime
41283,Drama
41283,Action
41283,Thriller
41436,Horror
41436,Mystery
37710,Action
37710,Thriller
37710,Romance
41233,Drama
41233,Romance
44264,Drama
44264,Adventure
44264,Western
43539,Romance
43539,Drama
43539,Thriller
43539,Crime
37056,Comedy
37056,Drama
37056,Romance
23048,Science Fiction
23048,Comedy
23048,Adventure
40264,Comedy
40264,Fantasy
23172,Action
23172,Comedy
23172,Family
43209,Action
43209,Adventure
43209,History
50727,Romance
50727,Drama
50727,History
50727,Comedy
47533,Mystery
47533,Fantasy
47533,Comedy
47533,Adventure
25602,Action
25602,Crime
25602,Drama
25602,Thriller
107748,Crime
107748,Drama
34134,Animation
34134,Family
34134,Fantasy
23023,Comedy
23023,Family
23023,Fantasy
41216,Animation
41216,Adventure
41216,Family
41216,Fantasy
27579,Crime
27579,Drama
27579,Thriller
38199,Drama
38199,Thriller
49009,Drama
49009,Adventure
49009,History
23631,Action
23631,Comedy
23631,Thriller
25642,Adventure
25642,Action
25642,TV Movie
25642,Science Fiction
26388,Drama
26388,Thriller
26388,Mystery
43939,Music
43939,Comedy
43939,Drama
63319,Drama
37950,Drama
37950,Romance
42684,Science Fiction
42684,Action
42684,Thriller
63455,Drama
63455,Romance
63455,Thriller
63455,Horror
28211,Drama
28211,Thriller
28211,Mystery
13477,Comedy
13477,Fantasy
13477,Romance
47626,Animation
47626,Fantasy
47626,Family
47626,Adventure
47626,Comedy
47626,TV Movie
46146,Fantasy
46146,Horror
65496,Drama
19901,Action
19901,Fantasy
19901,Science Fiction
